"Key";"Type";"Desc";"English";"Українська [uk]"
"Audio/AmbienceVolume";"Text";"";"Ambience Volume";"Гучність оточення"
"Audio/MasterVolume";"Text";"";"Master Volume";"Загальна гучність"
"Audio/MusicRate/1";"Text";"";"None";"Немає"
"Audio/MusicRate/2";"Text";"";"Short";"Короткий"
"Audio/MusicRate/3";"Text";"";"Medium";"Середній"
"Audio/MusicRate/4";"Text";"";"Long";"Довгий"
"Audio/MusicRate/5";"Text";"";"Max";"Максимальний"
"Audio/MusicRate/Title";"Text";"";"Time between music tracks";"Час між музичними доріжками"
"Audio/MusicVolume";"Text";"";"Music Volume";"Гучність музики"
"Audio/NotebookVolume";"Text";"";"Notebook Volume";"Гучність щоденника"
"Audio/SFXVolume";"Text";"";"SFX Volume";"Гучність звукових ефектів"
"Audio/UIVolume";"Text";"";"UI Volume";"Гучність інтерфейсу"
"Battery/Empty";"Text";"";"Battery empty";"Акумулятор розряджений"
"Battery/Required";"Text";"";"Battery required";"Потрібен акумулятор"
"Blcok/Shelf_Wood";"Text";"";"Wooden shelf@";"Дерев’яна полиця@"
"Block/Anchor_Stationary";"Text";"";"Stationary anchor@Lets you anchor your raft.";"Стаціонарний якір@Дозволяє вам кидати якір."
"Block/Anchor_Stationary_Advanced";"Text";"";"Advanced stationary anchor@Works remotely with the engine controls.";"Покращений стаціонарний якір@Працює віддалено з пристроєм контролю двигунів."
"Block/Anchor_Stationary_Remote";"Text";"";"Remote stationary anchor@Works remotely with the engine controls.";"Дистанційний стаціонарний якір@Працює віддалено з пристроєм контролю двигунів."
"Block/Anchor_Throwable";"Text";"";"Throwable anchor@Lets you anchor your raft. Can only be used once.";"Кидальний якір@Дозволяє вам кидати якір. Може бути використаний лише один раз."
"Block/Antenna";"Text";"";"Antenna@Used along with the receiver.";"Антена@Використовується разом з приймачем."
"Block/Bathtub";"Text";"";"Wooden bathtub@A no splinter guarantee!";"Дерев’яна ванна@Відсутність скалок гарантовано!"
"Block/BatteryCharger";"Text";"";"Battery charger@Can be connected with fuel pipes!";"Зарядний пристрій@Може бути поєднаний трубками для палива!"
